2A/D,2B/D,Geno group
1.1099,2.8845,1
1.1106,2.8571,1
1.1158,3.4597,1
1.1167,3.0347,1
1.123,3.3102,1
1.1261,3.3053,1
1.1282,2.9487,1
1.1292,3.8893,1
1.131,2.5952,1
1.1314,3.64,1
1.1316,3.2421,1
1.1323,3.0892,1
1.1327,3.3827,1
1.1363,3.0283,1
1.1374,3.1374,1
1.139,3.3743,1
1.1401,3.1401,1
1.1411,3.5736,1
1.142,3.2426,1
1.1482,2.8413,1
1.1487,2.793,1
1.1504,3.2084,1
1.1514,2.973,1
1.1526,3.4526,1
1.1568,2.6541,1
1.157,3.3223,1
1.1572,3.7124,1
1.1601,3.8363,1
1.1646,3.0915,1
1.1648,3.4489,1
1.1667,3.4611,1
1.1775,3.213,1
1.1791,3.438,1
1.1793,3.4894,1
1.1795,2.9003,1
1.1797,3.1186,1
1.1798,2.8405,1
1.1848,3.4956,1
1.1881,3.4208,1
1.1901,3.3451,1
1.2015,3.9328,1
1.2034,3.5424,1
1.2079,2.7809,1
1.2123,3.3231,1
1.2131,3.6775,1
1.2159,2.9429,1
1.2169,3.7169,1
1.2186,2.8361,1
1.2219,3.0862,1
1.2231,2.9659,1
1.2277,3.7925,1
1.2321,3.0893,1
1.2329,3.074,1
1.2339,3.6812,1
1.2394,2.9575,1
1.2444,3.4984,1
1.2452,3.2507,1
1.2456,3.2866,1
1.247,3.3735,1
1.2552,3.731,1
1.2553,3.0106,1
1.2603,3.9726,1
1.2691,3.4751,1
1.2839,3.729,1
1.2861,2.8313,1
1.288,3.3044,1
1.2929,3.7374,1
1.2938,3.3559,1
1.2967,3.1099,1
1.3063,3.2051,1
1.3075,3.0693,1
1.3117,3.3182,1
1.3193,3.3544,1
1.3241,4.1379,1
1.3333,2.6836,1
1.3569,3.1769,1
1.3578,3.4373,1
1.3626,3.2674,1
1.3662,3.6617,1
1.3669,3.4911,1
1.3949,3.3694,1
1.41,3.351,1
1.4303,3.2878,1
1.4477,3.2326,1
1.5033,3.5563,1
1.5619,3.3608,1
1.6139,1.7525,2
1.6847,1.7658,2
1.7044,1.9261,2
1.7177,1.6329,2
1.7552,2.0729,2
1.7585,1.9226,2
1.7629,1.9278,2
1.7694,2.1394,2
1.7767,1.4394,2
1.777,2.0791,2
1.7825,1.8833,2
1.7866,1.8659,2
1.7885,2.1971,2
1.7962,2.0427,2
1.8084,1.8329,2
1.8249,2.4746,2
1.8378,1.8378,2
1.8378,2.2054,2
1.8391,1.9786,2
1.8442,2.1558,2
1.8458,2.2024,2
1.8575,2.0739,2
1.875,2.2941,2
1.8821,1.8019,2
1.892,1.9578,2
1.8997,1.9174,2
1.9196,2.331,2
1.9325,2.1195,2
1.9358,1.6543,2
1.9417,2.4665,2
1.945,1.815,2
1.9534,2.1574,2
1.9549,1.8296,2
1.9576,1.7972,2
1.958,1.916,2
1.9736,1.7954,2
1.9813,1.5888,2
1.9827,2.1441,2
1.9843,2.6387,2
1.9896,1.9896,2
1.9897,1.8972,2
1.99,2.1905,2
1.9943,2.1203,2
1.9945,2.126,2
2.0052,1.8351,2
2.01,1.9667,2
2.0107,2.3797,2
2.0193,1.8169,2
2.0219,2.2247,2
2.0263,2.1211,2
2.0374,2.0436,2
2.0417,1.974,2
2.0461,2.454,2
2.0656,2.306,2
2.0674,2.6788,2
2.0693,2.112,2
2.0741,2.2099,2
2.0849,1.9416,2
2.089,2.0594,2
2.0892,2.2047,2
2.1083,2.4672,2
2.1141,2.1141,2
2.1264,2.456,2
2.1401,1.9944,2
2.1436,1.7129,2
2.1451,2.0466,2
2.1469,1.8362,2
2.1534,2.2183,2
2.1542,1.9304,2
2.1556,2.3444,2
2.1566,2.2424,2
2.1616,2.4401,2
2.1625,2.2129,2
2.1646,2.3659,2
2.165,2.2406,2
2.1688,2.1125,2
2.1698,2.1061,2
2.1737,2.1916,2
2.1823,2.5367,2
2.1868,2.5604,2
2.1969,1.6684,2
2.2005,2.0813,2
2.2048,1.9762,2
2.2077,2.1543,2
2.2099,2.2974,2
2.2143,1.9667,2
2.2204,2.4247,2
2.2267,2.4205,2
2.236,2.2247,2
2.2469,1.9547,2
2.2706,2.7393,2
2.2725,2.3706,2
2.2761,2.293,2
2.2803,2.1656,2
2.284,2.423,2
2.2865,2.4756,2
2.2887,2.2406,2
2.2911,2.2595,2
2.2965,1.9397,2
2.304,2.1398,2
2.3041,1.3918,2
2.3063,2.3363,2
2.3129,2.1963,2
2.3137,2.2689,2
2.3288,2.0822,2
2.3382,2.414,2
2.3457,2.1436,2
2.3841,2.3775,2
2.386,1.8714,2
2.3934,2.2295,2
2.4064,2.0889,2
2.4316,2.3344,2
2.4412,2.2941,2
2.447,2.1777,2
2.4476,2.0113,2
2.4508,2.2349,2
2.493,2.4085,2
2.5275,2.6429,2
2.5908,2.4677,2
2.5957,2.5532,2
2.6035,2.3276,2
2.6329,2.4051,2
2.6379,2.4983,2
2.6447,2.0406,2
2.6706,2.8783,2
2.6954,2.3506,2
2.7716,2.5,2
0.7792,1.9066,3
1.1423,2.1042,3
0,5.949,3
1.1418,5.1343,3
1.7411,4.0712,3
2.0184,3.7701,3
2.0793,3.3201,3
2.1079,3.3714,3
2.2591,3.0764,3
2.4491,3.4674,3
2.7465,3.4578,3
2.8629,3.5853,3
2.9879,1.8097,3
3.1803,2.3607,3
3.2222,1.96,3
3.224,2.1803,3
3.2267,2.2148,3
3.295,2.105,3
3.3071,2.0525,3
3.3934,2.1381,3
3.5198,2.6565,3
3.617,2.0479,3
3.6826,2.3413,3
3.691,2.1691,3
3.9388,1.9878,3
